timestamp,pursuit_control_rate,stanley_control_rate,sta_lat_rate,heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg, feedback_steer_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,closest_curvature,cur_east,cur_north,cur_yaw_deg,curvature_feedforward,zero_point_draft,target_spd,cur_spd,error,acceleration,cmd_spd,integral
18:00:12.375,0.6,0.4,0.4,-1.93161,-2.36182,0.00555298,3.37033,1.61935,-0.92229,-1.05,2.78506,80,52,-3.51508,19.4881,16.8474,-4.31161,16.804,16.0596,-0.00788928,-4.30151,16.819,18.779,0.2,-3,3,0.856704,2.1433,0,1,0
18:00:12.475,0.6,0.4,0.4,-1.74035,-2.15871,0.00629595,2.99421,1.47343,-1.15123,-0.97,2.86614,81,52,-3.45709,19.6795,16.8656,-4.28391,16.9001,16.1042,-0.00767412,-4.26563,16.9406,18.606,0.2,-3,3,0.910758,2.08924,0,1,0
18:00:12.575,0.6,0.4,0.4,-1.54772,-2.11915,0.0156109,2.91541,1.55293,-1.13321,-0.97,2.88983,81,52,-3.39904,19.8709,16.8783,-4.22829,17.0922,16.1898,-0.00724506,-4.22598,17.0442,18.426,0.2,-3,3,0.926553,2.07345,0,1,0
18:00:12.675,0.6,0.4,0.4,-1.34648,-1.85334,0.0140259,2.47965,1.33456,-1.4229,-0.88,2.97236,82,52,-3.34096,20.0622,16.8865,-4.20038,17.1882,16.2305,-0.00694322,-4.19039,17.1723,18.233,0.2,-3,3,0.981571,2.01843,0,1,0
18:00:12.775,0.6,0.4,0.4,-1.16373,-1.77381,0.0204263,2.37075,1.34596,-1.45622,-0.88,2.97568,82,52,-3.31191,20.1579,16.8893,-4.1724,17.2842,16.2694,-0.00665854,-4.15164,17.2824,18.053,0.2,-3,3,0.983787,2.01621,0,1,0
18:00:12.875,0.6,0.4,0.4,-0.96521,-1.48192,0.017342,1.93303,1.10123,-1.76145,-0.79,3.0497,83,52,-3.25381,20.3493,16.8928,-4.14435,17.3802,16.3068,-0.00640136,-4.1163,17.4142,17.858,0.2,-3,3,1.03313,1.96687,0,1.5,0
18:00:12.975,0.6,0.4,0.4,-0.747488,-1.29827,0.0211203,1.68084,1.01522,-1.90076,-0.79,3.07299,83,52,-3.19569,20.5406,16.8925,-4.08808,17.5721,16.3772,-0.00590415,-4.07848,17.5299,17.64,0.2,-3,3,1.04866,1.95134,0,1.5,0
18:00:13.075,0.6,0.4,0.4,-0.561245,-0.998654,0.0168977,1.26404,0.766244,-2.20053,-0.7,3.14373,84,52,-3.13759,20.732,16.8868,-4.05986,17.668,16.4105,-0.00569535,-4.04451,17.6603,17.448,0.2,-3,3,1.09582,1.90418,0,1.5,0
18:00:13.175,0.6,0.4,0.4,-0.39448,-0.849138,0.0188864,1.06582,0.678105,-2.32508,-0.79,3.17038,84,52,-3.10855,20.8277,16.8825,-4.03158,17.7639,16.4425,-0.00549654,-4.00729,17.7795,17.277,0.2,-3,3,1.11358,1.88642,0,1.5,0
18:00:13.275,0.6,0.4,0.4,-0.204401,-0.589476,0.0179601,0.730965,0.510579,-2.5467,-0.79,3.20938,85,52,-3.02146,21.1147,16.8676,-3.97487,17.9557,16.5038,-0.00522786,-3.97002,17.9089,17.072,0.2,-3,3,1.13959,1.86041,0,1.5,0
