heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,cur_east,cur_north,cur_yaw_deg,cur_spd
-5.27301,-13.7119,0.380814,-9.41383,82.3419,45.6396,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26743,-1.67847,-17.272,0.00316228
-5.27301,-13.7119,0.380814,-9.41383,82.3419,45.6396,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26743,-1.67847,-17.272,0.00316228
-5.27301,-13.7119,0.380814,-9.41383,82.3419,45.6396,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26743,-1.67847,-17.272,0.00316228
-5.272,-13.713,0.38075,-9.41452,82.3425,45.6397,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26718,-1.67859,-17.273,0.00316228
-5.272,-13.713,0.38075,-9.41452,82.3425,45.6397,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26718,-1.67859,-17.273,0.00316228
-5.272,-13.713,0.38075,-9.41452,82.3425,45.6397,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26718,-1.67859,-17.273,0.00316228
-5.272,-13.713,0.38075,-9.41452,82.3425,45.6397,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26718,-1.67859,-17.273,0.00316228
-5.272,-13.713,0.38075,-9.41452,82.3425,45.6397,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26718,-1.67859,-17.273,0.00316228
-5.27301,-13.7142,0.380738,-9.41748,83.0375,46.0555,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26716,-1.67859,-17.272,0.00223607
-5.27301,-13.7142,0.380738,-9.41748,83.0375,46.0555,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26716,-1.67859,-17.272,0.00223607
-5.27301,-13.7142,0.380738,-9.41748,83.0375,46.0555,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26716,-1.67859,-17.272,0.00223607
-5.27301,-13.7142,0.380738,-9.41748,83.0375,46.0555,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26716,-1.67859,-17.272,0.00223607
-5.27301,-13.7142,0.380738,-9.41748,83.0375,46.0555,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26716,-1.67859,-17.272,0.00223607
-5.27402,-13.7166,0.3807,-9.41695,82.3402,45.6373,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26698,-1.67869,-17.271,0.00316228
-5.27402,-13.7166,0.3807,-9.41695,82.3402,45.6373,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26698,-1.67869,-17.271,0.00316228
-5.27402,-13.7166,0.3807,-9.41695,82.3402,45.6373,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26698,-1.67869,-17.271,0.00316228
-5.27402,-13.7166,0.3807,-9.41695,82.3402,45.6373,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26698,-1.67869,-17.271,0.00316228
-5.27402,-13.7166,0.3807,-9.41695,82.3402,45.6373,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26698,-1.67869,-17.271,0.00316228
-5.27402,-13.7172,0.380672,-9.41948,83.0362,46.0539,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26693,-1.6787,-17.271,0.00223607
-5.27402,-13.7172,0.380672,-9.41948,83.0362,46.0539,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26693,-1.6787,-17.271,0.00223607
-5.27402,-13.7172,0.380672,-9.41948,83.0362,46.0539,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26693,-1.6787,-17.271,0.00223607
-5.27402,-13.7172,0.380672,-9.41948,83.0362,46.0539,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26693,-1.6787,-17.271,0.00223607
-5.27402,-13.7172,0.380672,-9.41948,83.0362,46.0539,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26693,-1.6787,-17.271,0.00223607
-5.27301,-13.7189,0.380572,-9.41848,82.3404,45.6369,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26662,-1.67883,-17.272,0.00316228
-5.27301,-13.7189,0.380572,-9.41848,82.3404,45.6369,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26662,-1.67883,-17.272,0.00316228
-5.27301,-13.7189,0.380572,-9.41848,82.3404,45.6369,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26662,-1.67883,-17.272,0.00316228
-5.27301,-13.7189,0.380572,-9.41848,82.3404,45.6369,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26662,-1.67883,-17.272,0.00316228
-5.27301,-13.7189,0.380572,-9.41848,82.3404,45.6369,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26662,-1.67883,-17.272,0.00316228
-5.26901,-13.7178,0.380439,-9.41774,82.3436,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26635,-1.67888,-17.276,0.00316228
-5.26901,-13.7178,0.380439,-9.41774,82.3436,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26635,-1.67888,-17.276,0.00316228
-5.26901,-13.7178,0.380439,-9.41774,82.3436,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26635,-1.67888,-17.276,0.00316228
-5.26901,-13.7178,0.380439,-9.41774,82.3436,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26635,-1.67888,-17.276,0.00316228
-5.26901,-13.7178,0.380439,-9.41774,82.3436,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26635,-1.67888,-17.276,0.00316228
-5.267,-13.7211,0.38021,-9.4199,82.3442,45.6385,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26582,-1.67903,-17.278,0.00316228
-5.267,-13.7211,0.38021,-9.4199,82.3442,45.6385,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26582,-1.67903,-17.278,0.00316228
-5.267,-13.7211,0.38021,-9.4199,82.3442,45.6385,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26582,-1.67903,-17.278,0.00316228
-5.267,-13.7211,0.38021,-9.4199,82.3442,45.6385,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26582,-1.67903,-17.278,0.00316228
-5.267,-13.7211,0.38021,-9.4199,82.3442,45.6385,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26582,-1.67903,-17.278,0.00316228
-5.267,-13.7227,0.380112,-9.42309,83.0407,46.0552,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26571,-1.67899,-17.278,0.00223607
-5.267,-13.7227,0.380112,-9.42309,83.0407,46.0552,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26571,-1.67899,-17.278,0.00223607
-5.267,-13.7227,0.380112,-9.42309,83.0407,46.0552,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26571,-1.67899,-17.278,0.00223607
-5.267,-13.7227,0.380112,-9.42309,83.0407,46.0552,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26571,-1.67899,-17.278,0.00223607
-5.267,-13.7227,0.380112,-9.42309,83.0407,46.0552,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26571,-1.67899,-17.278,0.00223607
-5.267,-13.724,0.380066,-9.42183,82.3432,45.6372,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26556,-1.67906,-17.278,0.00316228
-5.267,-13.724,0.380066,-9.42183,82.3432,45.6372,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26556,-1.67906,-17.278,0.00316228
-5.267,-13.724,0.380066,-9.42183,82.3432,45.6372,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26556,-1.67906,-17.278,0.00316228
-5.267,-13.724,0.380066,-9.42183,82.3432,45.6372,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26556,-1.67906,-17.278,0.00316228
-5.267,-13.724,0.380066,-9.42183,82.3432,45.6372,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26556,-1.67906,-17.278,0.00316228
-5.267,-13.7242,0.380027,-9.42413,83.0403,46.0545,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26557,-1.67899,-17.278,0.00223607
-5.267,-13.7242,0.380027,-9.42413,83.0403,46.0545,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26557,-1.67899,-17.278,0.00223607
