east,north,raw_curvature,smoothed_curvature
-2.73203118,22.07185006,0.0006034375464531895,0.000605456733114893
-2.70315575,22.1675828,0.000489244921313763,0.00046312426555139834
-2.67428498,22.26331703,0.0002947714759849746,0.0003191855539593308
-2.64541702,22.35905215,0.00022762130977659322,0.000223784650009281
-2.61655122,22.45478799,0.00021056761229756299,0.00020183242743995337
-2.58768742,22.55052449,0.00021114460377546856,0.00022579182852549843
-2.55882562,22.64626167,0.0002987969944433382,0.0002966393292001226
-2.52996666,22.74199978,0.00037208520578385006,0.0003771492326182451
-2.50111123,22.83773907,0.0003547424204505294,0.0003392249460196122
-2.47225917,22.93347947,0.00011142150802895705,8.870147325199502e-05
-2.44340815,23.02922028,-0.000312187460201254,-0.000274056615868396
-2.41455412,23.12496026,-0.0006053273405626007,-0.0006214271864679041
-2.38569429,23.22069851,-0.0009021008399275883,-0.0009034165261740303
-2.35682582,23.31643417,-0.0011487791296068452,-0.0011277083220306763
-2.32794636,23.41216649,-0.0012762837080358374,-0.00129823276532873
-2.29905469,23.5078951,-0.0014613621620386595,-0.0014382794313683364
-2.27014904,23.60361946,-0.0016246897433556517,-0.001661813794439931
-2.24122784,23.69933912,-0.001956240228214247,-0.0019175397443445684
-2.21228792,23.79505311,-0.0022128734635252765,-0.0022468679388311682
-2.18332682,23.8907607,-0.0026029549413458092,-0.0025983159191320777
-2.15434081,23.98646075,-0.0029382479418308275,-0.0029037461763529566
-2.12532669,24.08215226,-0.003084637670962166,-0.003121461445178996
-2.09628307,24.17783477,-0.0033105299319634673,-0.0032840180230384913
-2.06720779,24.27350762,-0.003454719828862003,-0.0034751339570802155
-2.03809948,24.36917036,-0.003665308069809743,-0.0036639857451692664
-2.00895614,24.46482233,-0.0038522305337461535,-0.0038374642426906498
-1.97977599,24.56046296,-0.003940850220416236,-0.003954368083716866
-1.95055818,24.656092,-0.004028803525212505,-0.0040129965978616755
-1.92130187,24.75170919,-0.0040560184383534315,-0.004067527382139888
-1.8920068,24.84731445,-0.004146837102483805,-0.004151884793529874
-1.8626721,24.94290752,-0.004291330649406398,-0.004279419154747262
-1.8332964,25.03848794,-0.004420680482053145,-0.004420024378257668
-1.80387847,25.13405531,-0.004605035441045869,-0.0046175589937716265
-1.77441656,25.22960905,-0.00492219891128693,-0.0049403585561524094
-1.74490766,25.32514816,-0.0053038661625448074,-0.005275699887713257
-1.71534815,25.42067143,-0.005469869941157349,-0.005461100491708108
-1.68573646,25.51617832,-0.005468649533163788,-0.005480077349663686
-1.6560726,25.61166884,-0.005450954468177796,-0.005445533778486417
-1.62635674,25.70714304,-0.0054342097499808706,-0.0054448419173310485
-1.59658904,25.80260097,-0.005499081762087227,-0.005488797260137452
-1.56676888,25.89804244,-0.005602194935592296,-0.0056069766116085005
-1.53689528,25.99346713,-0.005820159557672189,-0.005835050192433592
-1.50696616,26.08887439,-0.006173799695313928,-0.006162550650641656
-1.47697815,26.18426315,-0.006510215343288128,-0.006509004546290909
-1.44692807,26.27963231,-0.006807745350875193,-0.006805240708930139
-1.41681311,26.37498089,-0.007058854532323042,-0.007063059125805554
-1.38663089,26.47030809,-0.007285228524571843,-0.007286630907876936
-1.35637928,26.56561314,-0.0074594993739324055,-0.007444258292969079
-1.32605663,26.66089548,-0.007537937988156065,-0.007545087124663097
-1.2956622,26.75615485,-0.007654627886232906,-0.007664403242562772
-1.26519489,26.85139086,-0.007860245994570922,-0.00785475780869409
-1.23465274,26.94660289,-0.008091423415729625,-0.008089797339010486
-1.20403356,27.0417902,-0.008348820087498193,-0.008357793161480699
-1.17333492,27.13695194,-0.008652066842722383,-0.008642772969043172
-1.14255396,27.2320871,-0.008916108651118675,-0.008917078434304488
-1.11168819,27.3271948,-0.009164319008660935,-0.009174789867034419
-1.08073528,27.42227418,-0.009408757274155166,-0.009400861314816045
-1.04969293,27.51732441,-0.00953932279205,-0.009531145159707023
-1.01855993,27.61234499,-0.009538034432417079,-0.009543041457202089
-0.9873363,27.7073359,-0.009482316775996046,-0.009483214896559816
-0.95602259,27.80229725,-0.009391179114368039,-0.009381527787473662
-0.92461968,27.89722928,-0.009273152665870156,-0.009274912772753096
-0.8931287,27.99213233,-0.009249367462607155,-0.009268670479638908
-0.8615499,28.0870064,-0.009420418956382766,-0.009422832424116815
-0.82988169,28.18185085,-0.00966170073363021,-0.009648469936379283
-0.79812182,28.2766648,-0.009820449257218727,-0.009814891399571849
-0.76626882,28.37144764,-0.009898260291278299,-0.009901328386339725
-0.734322,28.46619898,-0.009961571272485748,-0.009969752804859615
-0.70228082,28.56091844,-0.01004102519513454,-0.010035443437043011
-0.67014457,28.65560564,-0.010071813842489641,-0.010064961567158696
-0.63791301,28.75026033,-0.010054249508883801,-0.010064025089827512
-0.60558636,28.84488241,-0.01006858770084406,-0.010060322267490093
-0.57316451,28.93947176,-0.010081035480554078,-0.010082904599513175
-0.54064737,29.03402826,-0.01015422996599373,-0.010162065671520545
-0.50803428,29.12855158,-0.010329001887286691,-0.010326893398526807
-0.47532363,29.22304103,-0.010554765410077065,-0.010561318077111515
-0.44251334,29.31749572,-0.010805533735540858,-0.010796566864216772
-0.40960109,29.41191469,-0.010978872282785416,-0.01097291040746699
-0.3765853,29.50629721,-0.011076959969699015,-0.011090158232390148
-0.3434651,29.6006428,-0.011171530926218162,-0.011166864826222703
-0.31023964,29.69495103,-0.011180339550882731,-0.011169005791793595
-0.27690887,29.78922178,-0.011075578075512871,-0.011078322471877615
-0.24347381,29.88345531,-0.010961665921301912,-0.010967975639688264
-0.20993557,29.9776519,-0.010911004551854423,-0.010903969369655653
-0.17629466,30.07181163,-0.010922382049600794,-0.010927852339529818
-0.14255101,30.16593436,-0.011076663622623663,-0.011098505831530287
-0.10870319,30.26001951,-0.011390894429833648,-0.011373780381206709
-0.07474829,30.35406589,-0.011627293859564018,-0.011610540410933609
-0.04068413,30.44807258,-0.01174774520079561,-0.011773076710576131
-0.00650964,30.542039,-0.011909588643197295,-0.011914248424057985
0.02777665,30.63596446,-0.011974630095665106,-0.011932522398915317
0.0621753,30.7298486,-0.0117503113570536,-0.011758396752761737
0.09668417,30.8236921,-0.011535330688298127,-0.011571869136584794
0.13130119,30.91749556,-0.01153405673373901,-0.01151354977545573
0.16602632,31.01125891,-0.011524576241038706,-0.011517001349699931
0.20085944,31.1049821,-0.011524223804497849,-0.011545574410348845
0.23580052,31.19866506,-0.011638707750702703,-0.011629650367790728
0.27085058,31.29230725,-0.011724646004644505,-0.011710194908450688
0.30601038,31.38590825,-0.011744325958620792,-0.011766524051007074
0.34128007,31.4794679,-0.011828631127190226,-0.01182882050173872
0.3766604,31.5729858,-0.011849467280404785,-0.011834868920701742
0.41215154,31.66646181,-0.01167653081858393,-0.011668297338281218
0.44775185,31.75989648,-0.011349832338582541,-0.011348974258246849
0.48345827,31.85329095,-0.011005439707453712,-0.011023809168892167
0.51926757,31.94664641,-0.010789431729500216,-0.010783423185135664
0.55517773,32.03996362,-0.010633576825576108,-0.010634292103847184
0.59118729,32.13324312,-0.01053974310078848,-0.010546531245479223
0.62729537,32.22648523,-0.010501453747081812,-0.01049221505207
0.66350162,32.3196901,-0.010433036935008513,-0.010439298437561475
0.69980541,32.41285799,-0.010356605610258722,-0.010359810948331313
0.73620604,32.5059892,-0.010221221855404614,-0.010205226653334691
0.77270224,32.59908419,-0.00993855214217139,-0.0099406570909399
0.80929137,32.69214396,-0.009606873633099944,-0.009618877620603226
0.84597035,32.78516973,-0.009299905755098488,-0.00928990588724959
0.88273635,32.87816268,-0.008951321414203527,-0.00894788742105402
0.91958616,32.97112416,-0.008611458641355312,-0.00861733183313803
0.95651668,33.06405556,-0.008370718720904967,-0.008375569367598777
0.99352575,33.15695795,-0.008250982366405176,-0.008248596513976868
1.03061231,33.24983189,-0.008217539413314103,-0.008225098070908012
1.06777609,33.34267759,-0.008263514642086757,-0.008264341695680574
1.10501756,33.43549497,-0.008293848494582482,-0.008275230374697304
1.14233703,33.52828397,-0.008203832454066041,-0.008207828167281165
1.17973371,33.62104502,-0.008105969402462547,-0.008121498204204835
1.21720675,33.71377861,-0.008066145567520618,-0.008053448761249561
1.25475585,33.80648504,-0.007969077823328811,-0.007962012780371949
1.29238019,33.89916485,-0.007847612450471315,-0.00785407517433603
1.33007874,33.99181871,-0.007817021230695663,-0.007823032762116284
1.36785131,34.08444694,-0.007917177500660995,-0.007914311279705469
1.40569892,34.17704936,-0.00811782006378582,-0.00812622519859583
1.44362351,34.26962538,-0.008422126967969722,-0.00841777596889009
1.48162795,34.36217394,-0.008735216354995436,-0.008720336390270114
1.51971519,34.45469394,-0.009012968022574671,-0.009029929150232367
1.55788784,34.54718438,-0.009384861356881186,-0.00939479778208084
1.59614937,34.63964387,-0.009782495921415547,-0.00975608903482488
1.63450346,34.73207085,-0.010021546319015634,-0.01001509170936181
1.67295235,34.82446443,-0.010225767496077036,-0.01024448929241029
1.71149797,34.91682388,-0.010594218178289875,-0.010599672400365218
1.75014375,35.00914779,-0.011107536134122924,-0.011101346777882524
1.78889449,35.10143426,-0.011682726541165886,-0.011680461256252278
1.82775556,35.19368114,-0.012309003733146381,-0.012306645780784482
1.8667328,35.28588607,-0.013002010367784051,-0.013008312696769254
1.90583261,35.37804629,-0.013804898547020583,-0.013811605954438928
1.94506236,35.4701585,-0.014687293201303539,-0.01468559051903137
1.98443008,35.56221891,-0.015540566174533026,-0.01552273295700929
2.02394351,35.65422379,-0.016275953937117702,-0.01627708262377254
2.06360932,35.74616991,-0.017012747163909703,-0.01702360248130271
2.10343421,35.83805407,-0.017857068518787975,-0.017853329503430333
2.14342581,35.9298725,-0.01878839529604628,-0.018788702876818063
2.18359245,36.02162085,-0.01982982663581739,-0.019835226012439887
2.22394342,36.11329421,-0.02100087323589649,-0.02100003625530894
2.26448913,36.20488699,-0.022258053066816153,-0.022255414988446583
2.30524072,36.29639312,-0.023567648872630242,-0.02357124871774935
2.34620971,36.3878061,-0.024926720978370783,-0.024928697577407892
2.38740796,36.47911899,-0.026290331516013368,-0.02627902409333303
2.42884728,36.57032465,-0.027590482295433844,-0.027592639615117997
2.47053891,36.66141625,-0.028891095057778475,-0.02889659222431118
