longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37730537,31.96340448,41.650,26.426,-0.042,41.650,14.795,-0.666,-0.732,1.214,-1.174,-0.309,-0.010,0.066,0.213,9.961,-0.466,0.365,-0.513,4
117.37730506,31.96340344,41.651,26.311,-0.072,41.651,14.831,-0.712,-0.715,1.213,-1.173,-0.310,-0.009,0.008,-0.082,9.823,-0.438,-0.110,-0.112,4
117.37730473,31.96340240,41.652,26.196,-0.103,41.652,14.843,-0.709,-0.720,1.221,-1.180,-0.312,-0.010,-0.035,0.107,9.766,0.136,0.137,-0.238,4
117.37730440,31.96340135,41.652,26.080,-0.134,41.652,14.887,-0.686,-0.708,1.225,-1.184,-0.314,-0.009,0.053,0.048,9.713,-0.080,0.289,-0.676,4
117.37730407,31.96340033,41.653,25.966,-0.166,41.653,14.951,-0.682,-0.666,1.214,-1.173,-0.312,-0.008,0.136,0.059,9.982,-0.066,0.426,-0.489,4
117.37730373,31.96339931,41.653,25.853,-0.198,41.653,14.971,-0.708,-0.650,1.217,-1.176,-0.314,-0.008,-0.028,-0.025,9.701,-0.550,-0.172,-0.087,4
117.37730339,31.96339827,41.655,25.738,-0.229,41.655,14.995,-0.734,-0.684,1.228,-1.186,-0.317,-0.009,-0.026,-0.019,9.691,0.172,-0.250,-0.587,4
117.37730306,31.96339723,41.655,25.623,-0.260,41.655,15.076,-0.686,-0.686,1.228,-1.186,-0.319,-0.009,0.148,0.046,9.984,0.257,0.300,-0.888,4
117.37730275,31.96339621,41.655,25.510,-0.290,41.655,15.148,-0.693,-0.637,1.210,-1.168,-0.315,-0.008,0.146,-0.024,9.990,-0.603,0.366,-0.476,4
117.37730244,31.96339520,41.654,25.397,-0.320,41.654,15.176,-0.747,-0.615,1.210,-1.168,-0.316,-0.008,-0.011,-0.109,9.532,-0.327,0.214,-0.263,4
117.37730211,31.96339419,41.654,25.285,-0.351,41.654,15.214,-0.728,-0.594,1.215,-1.173,-0.318,-0.007,-0.014,-0.064,9.797,0.270,0.250,-0.738,4
117.37730178,31.96339317,41.653,25.172,-0.382,41.653,15.315,-0.718,-0.585,1.220,-1.177,-0.321,-0.007,0.071,-0.031,9.980,-0.557,0.079,-1.125,4
117.37730144,31.96339216,41.653,25.060,-0.414,41.653,15.433,-0.758,-0.585,1.214,-1.171,-0.322,-0.007,0.034,-0.136,9.646,-0.456,0.078,-0.975,4
117.37730111,31.96339115,41.655,24.948,-0.446,41.655,15.523,-0.762,-0.585,1.215,-1.171,-0.324,-0.007,0.000,-0.102,9.702,-0.130,-0.148,-0.800,4
117.37730077,31.96339014,41.657,24.837,-0.477,41.657,15.620,-0.726,-0.597,1.214,-1.169,-0.326,-0.007,-0.005,-0.003,9.980,0.455,0.012,-1.113,4
117.37730043,31.96338913,41.657,24.724,-0.509,41.657,15.739,-0.703,-0.585,1.219,-1.174,-0.330,-0.007,-0.021,0.082,9.854,-0.508,0.166,-1.200,4
117.37730009,31.96338810,41.659,24.610,-0.541,41.659,15.862,-0.753,-0.604,1.225,-1.179,-0.334,-0.007,0.042,-0.160,9.740,-0.420,-0.384,-1.161,4
117.37729975,31.96338706,41.662,24.495,-0.574,41.662,15.973,-0.745,-0.634,1.229,-1.182,-0.337,-0.008,0.112,0.077,9.962,0.243,0.025,-1.138,4
117.37729941,31.96338603,41.665,24.380,-0.606,41.665,16.088,-0.728,-0.611,1.220,-1.173,-0.337,-0.007,0.087,0.006,9.805,-0.508,0.341,-1.188,4
117.37729907,31.96338500,41.667,24.266,-0.638,41.667,16.202,-0.761,-0.587,1.223,-1.175,-0.340,-0.007,-0.044,-0.181,9.806,-0.432,0.078,-1.075,4
117.37729872,31.96338397,41.670,24.152,-0.671,41.670,16.305,-0.767,-0.585,1.229,-1.180,-0.344,-0.007,-0.054,0.005,9.707,0.181,0.000,-1.025,4
117.37729836,31.96338293,41.672,24.037,-0.705,41.672,16.416,-0.740,-0.595,1.237,-1.187,-0.349,-0.007,0.007,0.047,9.709,0.042,0.014,-1.250,4
117.37729801,31.96338191,41.673,23.924,-0.738,41.673,16.538,-0.723,-0.587,1.230,-1.179,-0.349,-0.007,0.091,-0.142,10.043,-0.008,0.214,-1.163,4
117.37729766,31.96338088,41.676,23.810,-0.771,41.676,16.649,-0.719,-0.579,1.231,-1.180,-0.352,-0.007,0.008,-0.060,9.781,-0.057,0.039,-1.163,4
117.37729729,31.96337985,41.678,23.695,-0.806,41.678,16.765,-0.716,-0.583,1.239,-1.187,-0.356,-0.007,-0.056,-0.075,9.618,0.042,0.064,-1.250,4
117.37729691,31.96337881,41.680,23.580,-0.842,41.680,16.888,-0.674,-0.613,1.249,-1.195,-0.362,-0.007,0.011,-0.109,9.875,0.292,-0.425,-1.262,4
117.37729654,31.96337777,41.681,23.464,-0.878,41.681,17.014,-0.673,-0.633,1.245,-1.191,-0.363,-0.008,0.019,0.007,9.998,-0.521,0.142,-1.313,4
