longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status,,east,north
117.3776725,31.96351563,41.6439527,38.71634817,34.65017386,41.6439527,-73.07488437,-0.69401928,-0.69715546,1.21790013,0.32335413,-1.17393336,-0.00496676,0.0346676,0.15964645,9.87521125,-0.05851521,0.03037486,-0.02414651,4,,34.65017386,38.71634817
117.3776715,31.96351591,41.64353589,38.74536284,34.55463218,41.64353589,-73.13856352,-0.68961649,-0.68670265,1.20913537,0.32120434,-1.16557381,-0.00456157,0.03478515,0.09742885,9.78127819,-0.08787033,0.10397347,-0.01689625,4,,34.55463218,38.74536284
117.3776705,31.96351619,41.6426354,38.77427326,34.45905757,41.6426354,-73.20033182,-0.67850709,-0.67061913,1.19882578,0.31829407,-1.15581414,-0.00401163,0.03110109,0.07972995,9.78074576,0.04550887,0.10052531,-0.00377724,4,,34.45905757,38.77427326
117.3776694,31.96351645,41.64171643,38.80308261,34.36345105,41.64171643,-73.26018932,-0.65815072,-0.65709307,1.19132523,0.31643287,-1.14832523,-0.004,0.0118826,0.10147744,9.8962128,0.05746584,0.06825071,0.01860072,4,,34.36345105,38.80308261
117.3776684,31.96351674,41.64101509,38.83179406,34.26781364,41.64101509,-73.3181361,-0.64753274,-0.65887688,1.18671101,0.31499881,-1.14372146,-0.004,-0.01907364,0.08408568,9.9033157,-0.08723553,-0.18880563,-0.06304885,4,,34.26781364,38.83179406
117.3776674,31.96351699,41.64100322,38.86041077,34.17214637,41.64100322,-73.37417224,-0.64554595,-0.68837505,1.18315463,0.31438026,-1.14035263,-0.004,0.01669113,0.12414296,9.93730335,-0.12982905,-0.30180642,-0.26262609,4,,34.17214637,38.86041077
117.3776664,31.96351728,41.64107995,38.8889359,34.07645028,41.64107995,-73.42829784,-0.64960245,-0.69412581,1.16889259,0.31117424,-1.12695466,-0.004,0.11519191,0.1464717,9.944549,-0.48039345,0.08632199,-0.40007027,4,,34.07645028,38.8889359
117.3776654,31.96351754,41.64158774,38.91737262,33.98072637,41.64158774,-73.48051303,-0.66568138,-0.6717118,1.14812369,0.30574806,-1.10669114,-0.00399323,0.06651064,0.15870307,9.81291928,-0.39974349,0.19679141,-0.1253479,4,,33.98072637,38.91737262
117.3776644,31.9635178,41.64249017,38.9457241,33.88497569,41.64249017,-73.53081792,-0.67859666,-0.64786424,1.12932456,0.30085682,-1.08831485,-0.00383338,0.02426849,0.17084989,9.71706113,-0.28424751,0.26387457,0.09243563,4,,33.88497569,38.9457241
117.3776634,31.96351806,41.64553702,38.9739935,33.78919925,41.64553702,-73.57921264,-0.67269643,-0.61998978,1.12229596,0.29922164,-1.08130252,-0.00283849,0.03699868,0.18124395,9.83677958,-0.03503562,0.12534514,-0.05779821,4,,33.78919925,38.9739935
117.3776624,31.96351833,41.64853816,39.00218399,33.69339809,41.64853816,-73.62569734,-0.67236853,-0.59955482,1.11509911,0.29755217,-1.07421829,-0.0021384,0.05191133,0.15097727,9.93104289,0.13500889,-0.01941903,-0.17737267,4,,33.69339809,39.00218399
